1	29 Sep 20	13:11:00	24	0	18	0	Ct	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	29 Sep 20	13:12:00	1	0	18	0	Ct	0	1	0	0	0	7	0	0	0	0	0	0	0	0	5	0	10	0	0	0	0	0	0	1	2	0	0	5	0	0	1	0	1	0
3	29 Sep 20	13:13:00	1	0	18	0	Ct	0	1	0	0	0	18	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	8	0	0	0	2	0	0	1	0	1	0
4	29 Sep 20	13:14:00	1	0	18	0	Ct	0	1	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	7	0	0	1	0	0	2	0	0	0	0	0	3	1	0	3
5	29 Sep 20	13:15:00	1	0	18	0	Ct	0	1	0	0	3	0	0	0	0	0	0	0	0	0	14	0	0	1	1	0	0	1	0	6	0	0	0	3	0	0	2	5	0	7
6	29 Sep 20	13:16:00	1	0	18	0	Ct	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	4	0	0	9	5	0	4	0	1	6	0	0	3	0	0	4
7	29 Sep 20	13:17:00	1	0	18	0	Ct	0	1	0	0	2	0	0	0	0	0	0	1	7	0	0	10	10	0	1	1	0	3	0	0	3	3	5	5	0	0	1	4	0	3
8	29 Sep 20	13:18:00	1	0	18	0	Ct	0	1	0	5	0	0	0	0	0	0	0	8	0	10	3	0	0	0	0	1	0	0	0	11	0	5	0	8	0	0	4	0	1	0
9	29 Sep 20	13:19:00	1	0	18	0	Ct	0	1	0	0	15	0	0	0	0	0	0	0	0	0	3	0	0	0	11	1	0	0	0	0	3	0	0	4	0	0	3	7	1	1
10	29 Sep 20	13:20:00	1	0	18	0	Ct	0	1	0	0	0	0	0	0	0	0	0	5	0	0	5	0	5	1	1	10	0	8	2	0	7	0	1	6	0	0	0	3	2	0
11	29 Sep 20	13:21:00	1	0	18	0	Ct	0	1	0	0	3	9	0	0	0	0	0	0	6	9	2	5	5	0	0	1	0	2	0	23	13	0	0	0	0	0	3	0	3	0
12	29 Sep 20	13:22:00	1	0	18	0	Ct	0	1	0	1	3	0	0	0	0	0	0	5	14	7	7	0	0	0	0	2	0	0	1	1	0	2	4	0	0	0	0	1	2	0
13	29 Sep 20	13:23:00	1	0	18	0	Ct	0	1	0	0	0	0	0	0	0	1	0	0	6	7	6	0	8	1	3	4	0	8	2	6	1	6	0	7	0	0	5	1	6	0
14	29 Sep 20	13:24:00	1	0	18	0	Ct	0	1	7	0	3	0	0	0	0	0	0	1	0	1	0	3	0	0	1	1	0	0	9	1	0	0	0	4	0	0	7	0	8	0
