,Channel,Activity,No,Sex,Rep
1174,adj_Monitor72_ch30,517.1666666666666,66945,F,1
652,adj_Monitor56_ch20,516.6666666666666,62872,M,1
702,adj_Monitor58_ch14,513.5,62872,F,1
102,adj_Monitor16_ch27,513.3333333333334,67422,F,1
1134,adj_Monitor72_ch12,513.3333333333334,66945,F,1
1222,adj_Monitor73_ch23,512.0,57380,F,1
118,adj_Monitor16_ch5,510.5,67422,F,1
1504,adj_Monitor8_ch9,510.5,56014,M,1
430,adj_Monitor22_ch5,509.3333333333333,64498,M,1
220,adj_Monitor18_ch23,508.0,80387,M,1
154,adj_Monitor17_ch22,507.3333333333333,82983,M,1
1198,adj_Monitor73_ch12,506.8333333333333,57380,F,1
542,adj_Monitor2_ch29,506.5,53328,M,1
926,adj_Monitor60_ch4,505.6666666666667,66945,M,1
958,adj_Monitor63_ch19,504.1666666666667,56014,F,1
954,adj_Monitor63_ch17,503.0,56014,F,1
742,adj_Monitor58_ch32,502.8333333333333,62872,F,1
414,adj_Monitor22_ch27,501.8333333333333,64498,M,1
1428,adj_Monitor7_ch32,500.3333333333333,TRiPsc,F,1
338,adj_Monitor20_ch20,499.0,57713,M,1
1332,adj_Monitor77_ch18,498.6666666666667,64498,F,1
1412,adj_Monitor7_ch25,498.3333333333333,TRiPsc,F,1
1230,adj_Monitor73_ch27,497.3333333333333,57380,F,1
710,adj_Monitor58_ch18,497.3333333333333,62872,F,1
974,adj_Monitor63_ch26,496.5,56014,F,1
882,adj_Monitor60_ch12,492.5,66945,M,1
1114,adj_Monitor6_ch32,492.1666666666667,53328,F,1
416,adj_Monitor22_ch28,492.1666666666667,64498,M,1
1032,adj_Monitor67_ch23,491.8333333333333,57713,F,1
218,adj_Monitor18_ch22,491.1666666666667,80387,M,1
1092,adj_Monitor6_ch22,490.6666666666667,53328,F,1
236,adj_Monitor18_ch31,490.5,80387,M,1
730,adj_Monitor58_ch27,490.5,62872,F,1
1396,adj_Monitor7_ch18,490.5,TRiPsc,F,1
198,adj_Monitor18_ch13,490.1666666666667,80387,M,1
1450,adj_Monitor8_ch13,490.0,56014,M,1
1502,adj_Monitor8_ch8,490.0,56014,M,1
1310,adj_Monitor75_ch8,489.8333333333333,55690,M,1
52,adj_Monitor15_ch4,489.5,57380,M,1
316,adj_Monitor20_ch10,487.5,57713,M,1
756,adj_Monitor59_ch10,487.0,55690,F,1
1080,adj_Monitor6_ch16,486.8333333333333,53328,F,1
632,adj_Monitor56_ch11,486.3333333333333,62872,M,1
424,adj_Monitor22_ch31,485.8333333333333,64498,M,1
1056,adj_Monitor67_ch5,485.8333333333333,57713,F,1
190,adj_Monitor18_ch1,485.8333333333333,80387,M,1
558,adj_Monitor2_ch7,485.3333333333333,53328,M,1
1072,adj_Monitor6_ch12,484.3333333333333,53328,F,1
56,adj_Monitor15_ch6,484.0,57380,M,1
1328,adj_Monitor77_ch16,483.6666666666667,64498,F,1
642,adj_Monitor56_ch16,483.3333333333333,62872,M,1
1400,adj_Monitor7_ch2,483.0,TRiPsc,F,1
998,adj_Monitor63_ch8,481.6666666666667,56014,F,1
1138,adj_Monitor72_ch14,481.3333333333333,66945,F,1
1220,adj_Monitor73_ch22,480.5,57380,F,1
1010,adj_Monitor67_ch13,480.0,57713,F,1
1162,adj_Monitor72_ch25,479.1666666666667,66945,F,1
120,adj_Monitor16_ch6,478.1666666666667,67422,F,1
14,adj_Monitor15_ch16,477.3333333333333,57380,M,1
804,adj_Monitor59_ch5,476.6666666666667,55690,F,1
1212,adj_Monitor73_ch19,475.5,57380,F,1
610,adj_Monitor54_ch30,474.8333333333333,82983,F,1
1414,adj_Monitor7_ch26,474.3333333333333,TRiPsc,F,1
916,adj_Monitor60_ch29,474.1666666666667,66945,M,1
322,adj_Monitor20_ch13,473.6666666666667,57713,M,1
668,adj_Monitor56_ch28,473.3333333333333,62872,M,1
302,adj_Monitor1_ch4,472.8333333333333,67422,M,1
150,adj_Monitor17_ch2,470.1666666666667,82983,M,1
1404,adj_Monitor7_ch21,469.0,TRiPsc,F,1
58,adj_Monitor15_ch7,468.6666666666667,57380,M,1
726,adj_Monitor58_ch25,467.8333333333333,62872,F,1
1346,adj_Monitor77_ch24,467.1666666666667,64498,F,1
1082,adj_Monitor6_ch17,466.8333333333333,53328,F,1
522,adj_Monitor2_ch19,465.6666666666667,53328,M,1
352,adj_Monitor20_ch27,465.3333333333333,57713,M,1
1402,adj_Monitor7_ch20,464.8333333333333,TRiPsc,F,1
678,adj_Monitor56_ch32,463.5,62872,M,1
1482,adj_Monitor8_ch28,463.0,56014,M,1
1042,adj_Monitor67_ch28,462.5,57713,F,1
510,adj_Monitor2_ch13,460.8333333333333,53328,M,1
502,adj_Monitor2_ch1,460.1666666666667,53328,M,1
1026,adj_Monitor67_ch20,460.1666666666667,57713,F,1
1444,adj_Monitor8_ch10,460.0,56014,M,1
418,adj_Monitor22_ch29,459.3333333333333,64498,M,1
920,adj_Monitor60_ch30,457.8333333333333,66945,M,1
1386,adj_Monitor7_ch13,457.3333333333333,TRiPsc,F,1
1430,adj_Monitor7_ch4,457.3333333333333,TRiPsc,F,1
304,adj_Monitor1_ch5,457.0,67422,M,1
1156,adj_Monitor72_ch22,456.6666666666667,66945,F,1
364,adj_Monitor20_ch4,456.5,57713,M,1
714,adj_Monitor58_ch2,455.6666666666667,62872,F,1
1126,adj_Monitor6_ch9,455.6666666666667,53328,F,1
620,adj_Monitor54_ch6,454.8333333333333,82983,F,1
214,adj_Monitor18_ch20,453.6666666666667,80387,M,1
1122,adj_Monitor6_ch7,453.0,53328,F,1
734,adj_Monitor58_ch29,453.0,62872,F,1
1494,adj_Monitor8_ch4,452.3333333333333,56014,M,1
1014,adj_Monitor67_ch15,451.6666666666667,57713,F,1
194,adj_Monitor18_ch11,451.1666666666667,80387,M,1
530,adj_Monitor2_ch22,450.3333333333333,53328,M,1
68,adj_Monitor16_ch11,449.5,67422,F,1
866,adj_Monitor5_ch5,449.0,80387,F,1
828,adj_Monitor5_ch16,448.6666666666667,80387,F,1
840,adj_Monitor5_ch21,448.5,80387,F,1
1260,adj_Monitor75_ch11,448.3333333333333,55690,M,1
1338,adj_Monitor77_ch20,448.1666666666667,64498,F,1
550,adj_Monitor2_ch32,447.3333333333333,53328,M,1
758,adj_Monitor59_ch11,447.1666666666667,55690,F,1
1364,adj_Monitor77_ch32,446.3333333333333,64498,F,1
784,adj_Monitor59_ch25,445.8333333333333,55690,F,1
856,adj_Monitor5_ch3,444.8333333333333,80387,F,1
72,adj_Monitor16_ch13,444.0,67422,F,1
1498,adj_Monitor8_ch6,443.8333333333333,56014,M,1
1236,adj_Monitor73_ch3,443.6666666666667,57380,F,1
940,adj_Monitor63_ch10,443.5,56014,F,1
684,adj_Monitor56_ch6,443.3333333333333,62872,M,1
1390,adj_Monitor7_ch15,442.8333333333333,TRiPsc,F,1
1154,adj_Monitor72_ch21,442.8333333333333,66945,F,1
658,adj_Monitor56_ch23,441.3333333333333,62872,M,1
704,adj_Monitor58_ch15,441.1666666666667,62872,F,1
1064,adj_Monitor67_ch9,440.5,57713,F,1
1448,adj_Monitor8_ch12,440.5,56014,M,1
180,adj_Monitor17_ch5,439.0,82983,M,1
526,adj_Monitor2_ch20,438.5,53328,M,1
1084,adj_Monitor6_ch18,438.3333333333333,53328,F,1
1304,adj_Monitor75_ch5,438.3333333333333,55690,M,1
216,adj_Monitor18_ch21,437.3333333333333,80387,M,1
514,adj_Monitor2_ch15,436.6666666666667,53328,M,1
1442,adj_Monitor8_ch1,436.3333333333333,56014,M,1
880,adj_Monitor60_ch11,434.5,66945,M,1
136,adj_Monitor17_ch13,432.3333333333333,82983,M,1
596,adj_Monitor54_ch24,432.0,82983,F,1
372,adj_Monitor20_ch8,431.3333333333333,57713,M,1
1492,adj_Monitor8_ch32,431.1666666666667,56014,M,1
732,adj_Monitor58_ch28,431.1666666666667,62872,F,1
512,adj_Monitor2_ch14,431.0,53328,M,1
648,adj_Monitor56_ch19,429.8333333333333,62872,M,1
178,adj_Monitor17_ch4,428.8333333333333,82983,M,1
1022,adj_Monitor67_ch19,428.6666666666667,57713,F,1
592,adj_Monitor54_ch22,427.1666666666667,82983,F,1
586,adj_Monitor54_ch2,426.6666666666667,82983,F,1
1070,adj_Monitor6_ch11,426.1666666666667,53328,F,1
240,adj_Monitor18_ch4,425.5,80387,M,1
16,adj_Monitor15_ch17,424.3333333333333,57380,M,1
712,adj_Monitor58_ch19,424.0,62872,F,1
532,adj_Monitor2_ch23,423.1666666666667,53328,M,1
326,adj_Monitor20_ch15,423.0,57713,M,1
1274,adj_Monitor75_ch19,422.1666666666667,55690,M,1
1462,adj_Monitor8_ch19,422.1666666666667,56014,M,1
1254,adj_Monitor73_ch9,420.5,57380,F,1
1176,adj_Monitor72_ch31,420.1666666666667,66945,F,1
622,adj_Monitor54_ch7,420.0,82983,F,1
562,adj_Monitor2_ch9,419.5,53328,M,1
1480,adj_Monitor8_ch27,418.6666666666667,56014,M,1
1000,adj_Monitor63_ch9,418.1666666666667,56014,F,1
508,adj_Monitor2_ch12,417.6666666666667,53328,M,1
1152,adj_Monitor72_ch20,416.1666666666667,66945,F,1
624,adj_Monitor54_ch8,415.3333333333333,82983,F,1
1214,adj_Monitor73_ch2,414.6666666666667,57380,F,1
810,adj_Monitor59_ch8,414.5,55690,F,1
506,adj_Monitor2_ch11,413.1666666666667,53328,M,1
820,adj_Monitor5_ch12,412.5,80387,F,1
970,adj_Monitor63_ch24,412.1666666666667,56014,F,1
498,adj_Monitor24_ch8,411.8333333333333,TRiPsc,M,1
292,adj_Monitor1_ch29,411.0,67422,M,1
456,adj_Monitor24_ch17,411.0,TRiPsc,M,1
1106,adj_Monitor6_ch29,410.3333333333333,53328,F,1
1422,adj_Monitor7_ch3,410.1666666666667,TRiPsc,F,1
786,adj_Monitor59_ch26,409.8333333333333,55690,F,1
248,adj_Monitor18_ch8,409.0,80387,M,1
1416,adj_Monitor7_ch27,408.5,TRiPsc,F,1
1192,adj_Monitor73_ch1,408.3333333333333,57380,F,1
600,adj_Monitor54_ch26,406.6666666666667,82983,F,1
1500,adj_Monitor8_ch7,405.3333333333333,56014,M,1
110,adj_Monitor16_ch30,405.0,67422,F,1
78,adj_Monitor16_ch16,404.3333333333333,67422,F,1
670,adj_Monitor56_ch29,404.1666666666667,62872,M,1
890,adj_Monitor60_ch16,404.1666666666667,66945,M,1
1440,adj_Monitor7_ch9,403.8333333333333,TRiPsc,F,1
634,adj_Monitor56_ch12,403.3333333333333,62872,M,1
806,adj_Monitor59_ch6,401.3333333333333,55690,F,1
604,adj_Monitor54_ch28,400.5,82983,F,1
992,adj_Monitor63_ch5,399.8333333333333,56014,F,1
768,adj_Monitor59_ch18,398.0,55690,F,1
1474,adj_Monitor8_ch24,397.5,56014,M,1
250,adj_Monitor18_ch9,397.3333333333333,80387,M,1
618,adj_Monitor54_ch5,396.8333333333333,82983,F,1
576,adj_Monitor54_ch15,396.6666666666667,82983,F,1
1418,adj_Monitor7_ch28,394.3333333333333,TRiPsc,F,1
44,adj_Monitor15_ch3,394.3333333333333,57380,M,1
594,adj_Monitor54_ch23,394.1666666666667,82983,F,1
34,adj_Monitor15_ch25,394.1666666666667,57380,M,1
1102,adj_Monitor6_ch27,393.6666666666667,53328,F,1
834,adj_Monitor5_ch19,393.5,80387,F,1
1190,adj_Monitor72_ch9,393.5,66945,F,1
850,adj_Monitor5_ch26,393.3333333333333,80387,F,1
504,adj_Monitor2_ch10,393.0,53328,M,1
126,adj_Monitor16_ch9,392.8333333333333,67422,F,1
