,Channel,bout_length,No,Sex,Rep
572,adj_Monitor54_ch13,49.2962962962963,82983,F,1
574,adj_Monitor54_ch14,41.181102362204726,82983,F,1
576,adj_Monitor54_ch15,67.47727272727273,82983,F,1
578,adj_Monitor54_ch16,57.41237113402062,82983,F,1
580,adj_Monitor54_ch17,30.869565217391305,82983,F,1
582,adj_Monitor54_ch18,63.292682926829265,82983,F,1
584,adj_Monitor54_ch19,117.53448275862068,82983,F,1
586,adj_Monitor54_ch2,100.80701754385964,82983,F,1
588,adj_Monitor54_ch20,152.26829268292684,82983,F,1
590,adj_Monitor54_ch21,58.94318181818182,82983,F,1
592,adj_Monitor54_ch22,103.93548387096774,82983,F,1
594,adj_Monitor54_ch23,83.95833333333333,82983,F,1
596,adj_Monitor54_ch24,82.02739726027397,82983,F,1
598,adj_Monitor54_ch25,38.05035971223022,82983,F,1
600,adj_Monitor54_ch26,105.24137931034483,82983,F,1
602,adj_Monitor54_ch27,53.89473684210526,82983,F,1
604,adj_Monitor54_ch28,76.3170731707317,82983,F,1
606,adj_Monitor54_ch29,46.909909909909906,82983,F,1
608,adj_Monitor54_ch3,39.82857142857143,82983,F,1
610,adj_Monitor54_ch30,92.04477611940298,82983,F,1
612,adj_Monitor54_ch31,83.59154929577464,82983,F,1
614,adj_Monitor54_ch32,56.03061224489796,82983,F,1
616,adj_Monitor54_ch4,110.38775510204081,82983,F,1
618,adj_Monitor54_ch5,94.28985507246377,82983,F,1
620,adj_Monitor54_ch6,69.66666666666667,82983,F,1
622,adj_Monitor54_ch7,110.85714285714286,82983,F,1
624,adj_Monitor54_ch8,173.7941176470588,82983,F,1
626,adj_Monitor54_ch9,36.404411764705884,82983,F,1
628,adj_Monitor56_ch1,60.9126213592233,62872,M,1
630,adj_Monitor56_ch10,80.46478873239437,62872,M,1
632,adj_Monitor56_ch11,74.575,62872,M,1
634,adj_Monitor56_ch12,67.76842105263158,62872,M,1
636,adj_Monitor56_ch13,55.04545454545455,62872,M,1
638,adj_Monitor56_ch14,60.670103092783506,62872,M,1
640,adj_Monitor56_ch15,48.84375,62872,M,1
642,adj_Monitor56_ch16,53.87826086956522,62872,M,1
644,adj_Monitor56_ch17,50.28455284552845,62872,M,1
646,adj_Monitor56_ch18,77.8586956521739,62872,M,1
648,adj_Monitor56_ch19,76.98717948717949,62872,M,1
650,adj_Monitor56_ch2,76.5657894736842,62872,M,1
652,adj_Monitor56_ch20,61.83,62872,M,1
654,adj_Monitor56_ch21,44.06299212598425,62872,M,1
656,adj_Monitor56_ch22,51.275510204081634,62872,M,1
658,adj_Monitor56_ch23,72.86046511627907,62872,M,1
660,adj_Monitor56_ch24,47.74766355140187,62872,M,1
662,adj_Monitor56_ch25,50.775862068965516,62872,M,1
664,adj_Monitor56_ch26,47.34375,62872,M,1
666,adj_Monitor56_ch27,73.3780487804878,62872,M,1
668,adj_Monitor56_ch28,51.644067796610166,62872,M,1
670,adj_Monitor56_ch29,72.23456790123457,62872,M,1
672,adj_Monitor56_ch3,56.561797752808985,62872,M,1
674,adj_Monitor56_ch30,56.271028037383175,62872,M,1
676,adj_Monitor56_ch31,61.55339805825243,62872,M,1
678,adj_Monitor56_ch32,68.12359550561797,62872,M,1
680,adj_Monitor56_ch4,67.70786516853933,62872,M,1
682,adj_Monitor56_ch5,45.03076923076923,62872,M,1
684,adj_Monitor56_ch6,61.02247191011236,62872,M,1
686,adj_Monitor56_ch7,38.732394366197184,62872,M,1
688,adj_Monitor56_ch8,60.06666666666667,62872,M,1
690,adj_Monitor56_ch9,50.205357142857146,62872,M,1
692,adj_Monitor58_ch1,81.10169491525424,62872,F,1
694,adj_Monitor58_ch10,82.90163934426229,62872,F,1
696,adj_Monitor58_ch11,87.69354838709677,62872,F,1
698,adj_Monitor58_ch12,84.65151515151516,62872,F,1
700,adj_Monitor58_ch13,41.37301587301587,62872,F,1
702,adj_Monitor58_ch14,65.20652173913044,62872,F,1
704,adj_Monitor58_ch15,67.8735632183908,62872,F,1
706,adj_Monitor58_ch16,67.78666666666666,62872,F,1
708,adj_Monitor58_ch17,68.42465753424658,62872,F,1
710,adj_Monitor58_ch18,57.37931034482759,62872,F,1
712,adj_Monitor58_ch19,77.58208955223881,62872,F,1
714,adj_Monitor58_ch2,64.12658227848101,62872,F,1
716,adj_Monitor58_ch20,70.75384615384615,62872,F,1
718,adj_Monitor58_ch21,64.12676056338029,62872,F,1
720,adj_Monitor58_ch22,110.21818181818182,62872,F,1
722,adj_Monitor58_ch23,38.71311475409836,62872,F,1
724,adj_Monitor58_ch24,59.875,62872,F,1
726,adj_Monitor58_ch25,69.10526315789474,62872,F,1
728,adj_Monitor58_ch26,45.36363636363637,62872,F,1
730,adj_Monitor58_ch27,70.64102564102564,62872,F,1
732,adj_Monitor58_ch28,119.88372093023256,62872,F,1
734,adj_Monitor58_ch29,130.05405405405406,62872,F,1
736,adj_Monitor58_ch3,104.23529411764706,62872,F,1
738,adj_Monitor58_ch30,76.70270270270271,62872,F,1
740,adj_Monitor58_ch31,175.9090909090909,62872,F,1
742,adj_Monitor58_ch32,55.41573033707865,62872,F,1
744,adj_Monitor58_ch5,77.03225806451613,62872,F,1
746,adj_Monitor58_ch6,40.947826086956525,62872,F,1
748,adj_Monitor58_ch7,67.92537313432835,62872,F,1
750,adj_Monitor58_ch8,79.28125,62872,F,1
752,adj_Monitor58_ch9,88.64516129032258,62872,F,1
754,adj_Monitor59_ch1,82.6547619047619,55690,F,1
756,adj_Monitor59_ch10,57.205357142857146,55690,F,1
758,adj_Monitor59_ch11,53.863247863247864,55690,F,1
760,adj_Monitor59_ch12,55.80392156862745,55690,F,1
762,adj_Monitor59_ch13,80.04109589041096,55690,F,1
764,adj_Monitor59_ch14,185.35135135135135,55690,F,1
766,adj_Monitor59_ch17,73.28395061728395,55690,F,1
768,adj_Monitor59_ch18,60.375,55690,F,1
770,adj_Monitor59_ch19,95.98591549295774,55690,F,1
772,adj_Monitor59_ch2,95.56,55690,F,1
774,adj_Monitor59_ch20,43.982608695652175,55690,F,1
776,adj_Monitor59_ch21,106.41666666666667,55690,F,1
778,adj_Monitor59_ch22,86.11428571428571,55690,F,1
780,adj_Monitor59_ch23,130.66666666666666,55690,F,1
782,adj_Monitor59_ch24,170.175,55690,F,1
784,adj_Monitor59_ch25,64.88659793814433,55690,F,1
786,adj_Monitor59_ch26,78.20779220779221,55690,F,1
788,adj_Monitor59_ch27,55.84313725490196,55690,F,1
790,adj_Monitor59_ch28,125.43396226415095,55690,F,1
792,adj_Monitor59_ch29,158.04651162790697,55690,F,1
794,adj_Monitor59_ch3,98.18840579710145,55690,F,1
796,adj_Monitor59_ch30,116.67857142857143,55690,F,1
798,adj_Monitor59_ch31,132.6875,55690,F,1
800,adj_Monitor59_ch32,62.204301075268816,55690,F,1
802,adj_Monitor59_ch4,119.2,55690,F,1
804,adj_Monitor59_ch5,97.2063492063492,55690,F,1
806,adj_Monitor59_ch6,83.67567567567568,55690,F,1
808,adj_Monitor59_ch7,88.66666666666667,55690,F,1
810,adj_Monitor59_ch8,88.77333333333333,55690,F,1
812,adj_Monitor59_ch9,69.05494505494505,55690,F,1
814,adj_Monitor5_ch1,45.36752136752137,80387,F,1
816,adj_Monitor5_ch10,64.48181818181818,80387,F,1
818,adj_Monitor5_ch11,107.86567164179104,80387,F,1
820,adj_Monitor5_ch12,48.80916030534351,80387,F,1
822,adj_Monitor5_ch13,128.03571428571428,80387,F,1
824,adj_Monitor5_ch14,251.32258064516128,80387,F,1
826,adj_Monitor5_ch15,48.507936507936506,80387,F,1
828,adj_Monitor5_ch16,36.60693641618497,80387,F,1
