,Channel,bout_length,No,Sex,Rep
1354,adj_Monitor77_ch28,139.79166666666666,64498,F,1
1356,adj_Monitor77_ch29,181.75,64498,F,1
1358,adj_Monitor77_ch3,60.61818181818182,64498,F,1
1360,adj_Monitor77_ch30,89.0,64498,F,1
1362,adj_Monitor77_ch31,80.6304347826087,64498,F,1
1364,adj_Monitor77_ch32,389.8888888888889,64498,F,1
1366,adj_Monitor77_ch4,103.93939393939394,64498,F,1
1368,adj_Monitor77_ch5,428.3333333333333,64498,F,1
1370,adj_Monitor77_ch6,95.70588235294117,64498,F,1
1372,adj_Monitor77_ch7,144.08333333333334,64498,F,1
1374,adj_Monitor77_ch8,169.91304347826087,64498,F,1
1376,adj_Monitor77_ch9,103.84848484848484,64498,F,1
1378,adj_Monitor7_ch1,185.55555555555554,TRiPsc,F,1
1380,adj_Monitor7_ch10,84.86046511627907,TRiPsc,F,1
1382,adj_Monitor7_ch11,158.5,TRiPsc,F,1
1384,adj_Monitor7_ch12,293.0833333333333,TRiPsc,F,1
1386,adj_Monitor7_ch13,135.36,TRiPsc,F,1
1388,adj_Monitor7_ch14,248.0,TRiPsc,F,1
1390,adj_Monitor7_ch15,480.875,TRiPsc,F,1
1392,adj_Monitor7_ch16,153.23076923076923,TRiPsc,F,1
1394,adj_Monitor7_ch17,151.52,TRiPsc,F,1
1396,adj_Monitor7_ch18,87.46511627906976,TRiPsc,F,1
1398,adj_Monitor7_ch19,145.42857142857142,TRiPsc,F,1
1400,adj_Monitor7_ch2,161.27272727272728,TRiPsc,F,1
1402,adj_Monitor7_ch20,120.70370370370371,TRiPsc,F,1
1404,adj_Monitor7_ch21,524.0,TRiPsc,F,1
1406,adj_Monitor7_ch22,172.05,TRiPsc,F,1
1408,adj_Monitor7_ch23,116.76666666666667,TRiPsc,F,1
1410,adj_Monitor7_ch24,84.625,TRiPsc,F,1
1412,adj_Monitor7_ch25,287.8333333333333,TRiPsc,F,1
1414,adj_Monitor7_ch26,126.0,TRiPsc,F,1
1416,adj_Monitor7_ch27,661.0,TRiPsc,F,1
1418,adj_Monitor7_ch28,209.8421052631579,TRiPsc,F,1
1420,adj_Monitor7_ch29,181.94736842105263,TRiPsc,F,1
1422,adj_Monitor7_ch3,90.94444444444444,TRiPsc,F,1
1424,adj_Monitor7_ch30,97.0,TRiPsc,F,1
1426,adj_Monitor7_ch31,122.28125,TRiPsc,F,1
1428,adj_Monitor7_ch32,137.57692307692307,TRiPsc,F,1
1430,adj_Monitor7_ch4,131.14814814814815,TRiPsc,F,1
1432,adj_Monitor7_ch5,527.1428571428571,TRiPsc,F,1
1434,adj_Monitor7_ch6,527.8571428571429,TRiPsc,F,1
1436,adj_Monitor7_ch7,122.3,TRiPsc,F,1
1438,adj_Monitor7_ch8,351.72727272727275,TRiPsc,F,1
1440,adj_Monitor7_ch9,140.0,TRiPsc,F,1
1442,adj_Monitor8_ch1,244.25,56014,M,1
1444,adj_Monitor8_ch10,117.91176470588235,56014,M,1
1446,adj_Monitor8_ch11,135.53571428571428,56014,M,1
1448,adj_Monitor8_ch12,141.91666666666666,56014,M,1
1450,adj_Monitor8_ch13,69.42857142857143,56014,M,1
1452,adj_Monitor8_ch14,167.04166666666666,56014,M,1
1454,adj_Monitor8_ch15,288.72727272727275,56014,M,1
1456,adj_Monitor8_ch16,85.76923076923077,56014,M,1
1458,adj_Monitor8_ch17,83.94871794871794,56014,M,1
1460,adj_Monitor8_ch18,135.84,56014,M,1
1462,adj_Monitor8_ch19,119.83333333333333,56014,M,1
1464,adj_Monitor8_ch2,167.13636363636363,56014,M,1
1466,adj_Monitor8_ch20,93.28947368421052,56014,M,1
1468,adj_Monitor8_ch21,147.69565217391303,56014,M,1
1470,adj_Monitor8_ch22,170.13636363636363,56014,M,1
1472,adj_Monitor8_ch23,88.075,56014,M,1
1474,adj_Monitor8_ch24,120.6875,56014,M,1
1476,adj_Monitor8_ch25,108.54545454545455,56014,M,1
1478,adj_Monitor8_ch26,106.32352941176471,56014,M,1
1480,adj_Monitor8_ch27,168.7,56014,M,1
1482,adj_Monitor8_ch28,125.35714285714286,56014,M,1
1484,adj_Monitor8_ch29,122.3225806451613,56014,M,1
1486,adj_Monitor8_ch3,220.23529411764707,56014,M,1
1488,adj_Monitor8_ch30,162.22727272727272,56014,M,1
1490,adj_Monitor8_ch31,222.52941176470588,56014,M,1
1492,adj_Monitor8_ch32,267.53846153846155,56014,M,1
1494,adj_Monitor8_ch4,181.28571428571428,56014,M,1
1496,adj_Monitor8_ch5,59.57627118644068,56014,M,1
1498,adj_Monitor8_ch6,115.94285714285714,56014,M,1
1500,adj_Monitor8_ch7,228.64705882352942,56014,M,1
1502,adj_Monitor8_ch8,149.72,56014,M,1
1504,adj_Monitor8_ch9,111.56666666666666,56014,M,1
