,Channel,Bout_Count,No,Sex,Rep
164401,adj_Monitor75_ch32,20.833333333333332,55690,M,1
164739,adj_Monitor75_ch4,11.666666666666666,55690,M,1
164951,adj_Monitor75_ch5,15.666666666666666,55690,M,1
165241,adj_Monitor75_ch6,24.333333333333332,55690,M,1
165685,adj_Monitor75_ch7,18.5,55690,M,1
166011,adj_Monitor75_ch8,19.5,55690,M,1
166333,adj_Monitor75_ch9,14.0,55690,M,1
166553,adj_Monitor77_ch1,10.166666666666666,64498,F,1
166747,adj_Monitor77_ch10,12.333333333333334,64498,F,1
167020,adj_Monitor77_ch11,13.833333333333334,64498,F,1
167367,adj_Monitor77_ch12,13.166666666666666,64498,F,1
167677,adj_Monitor77_ch13,16.833333333333332,64498,F,1
167999,adj_Monitor77_ch14,16.666666666666668,64498,F,1
168385,adj_Monitor77_ch15,10.833333333333334,64498,F,1
168601,adj_Monitor77_ch16,12.666666666666666,64498,F,1
168923,adj_Monitor77_ch17,16.5,64498,F,1
169283,adj_Monitor77_ch18,13.5,64498,F,1
169571,adj_Monitor77_ch19,16.666666666666668,64498,F,1
169949,adj_Monitor77_ch2,14.833333333333334,64498,F,1
170241,adj_Monitor77_ch20,11.166666666666666,64498,F,1
170517,adj_Monitor77_ch21,10.0,64498,F,1
170693,adj_Monitor77_ch22,13.0,64498,F,1
170947,adj_Monitor77_ch23,10.0,64498,F,1
171169,adj_Monitor77_ch24,14.5,64498,F,1
171425,adj_Monitor77_ch25,15.166666666666666,64498,F,1
171737,adj_Monitor77_ch26,18.833333333333332,64498,F,1
172146,adj_Monitor77_ch27,7.333333333333333,64498,F,1
172257,adj_Monitor77_ch28,15.166666666666666,64498,F,1
172579,adj_Monitor77_ch29,11.666666666666666,64498,F,1
172783,adj_Monitor77_ch3,17.0,64498,F,1
173097,adj_Monitor77_ch30,14.833333333333334,64498,F,1
173492,adj_Monitor77_ch31,18.5,64498,F,1
173855,adj_Monitor77_ch32,13.833333333333334,64498,F,1
