,Channel,Bout_Count,No,Sex,Rep
126841,adj_Monitor63_ch31,0.16666666666666666,56014,F,1
126957,adj_Monitor63_ch32,1.6666666666666667,56014,F,1
127291,adj_Monitor63_ch4,5.833333333333333,56014,F,1
127549,adj_Monitor63_ch5,8.666666666666666,56014,F,1
127789,adj_Monitor63_ch6,0.6666666666666666,56014,F,1
127993,adj_Monitor63_ch7,3.3333333333333335,56014,F,1
128163,adj_Monitor63_ch8,3.0,56014,F,1
128377,adj_Monitor63_ch9,2.6666666666666665,56014,F,1
128519,adj_Monitor67_ch1,5.333333333333333,57713,F,1
128939,adj_Monitor67_ch10,4.833333333333333,57713,F,1
129335,adj_Monitor67_ch11,11.333333333333334,57713,F,1
129841,adj_Monitor67_ch12,6.833333333333333,57713,F,1
130001,adj_Monitor67_ch13,4.5,57713,F,1
130259,adj_Monitor67_ch14,5.166666666666667,57713,F,1
130603,adj_Monitor67_ch15,0.3333333333333333,57713,F,1
130891,adj_Monitor67_ch16,9.666666666666666,57713,F,1
131311,adj_Monitor67_ch17,2.6666666666666665,57713,F,1
131601,adj_Monitor67_ch18,4.0,57713,F,1
131933,adj_Monitor67_ch19,3.3333333333333335,57713,F,1
132187,adj_Monitor67_ch2,2.5,57713,F,1
132513,adj_Monitor67_ch20,0.16666666666666666,57713,F,1
132717,adj_Monitor67_ch21,10.0,57713,F,1
133165,adj_Monitor67_ch22,,57713,F,1
133395,adj_Monitor67_ch23,3.0,57713,F,1
133647,adj_Monitor67_ch24,12.166666666666666,57713,F,1
134087,adj_Monitor67_ch25,5.5,57713,F,1
134374,adj_Monitor67_ch26,7.5,57713,F,1
134743,adj_Monitor67_ch27,3.8333333333333335,57713,F,1
135079,adj_Monitor67_ch28,1.5,57713,F,1
135347,adj_Monitor67_ch29,4.166666666666667,57713,F,1
135655,adj_Monitor67_ch3,4.5,57713,F,1
135967,adj_Monitor67_ch30,5.666666666666667,57713,F,1
136323,adj_Monitor67_ch31,1.5,57713,F,1
136509,adj_Monitor67_ch32,3.5,57713,F,1
136777,adj_Monitor67_ch4,1.0,57713,F,1
136997,adj_Monitor67_ch5,2.8333333333333335,57713,F,1
137333,adj_Monitor67_ch6,4.833333333333333,57713,F,1
137595,adj_Monitor67_ch7,6.833333333333333,57713,F,1
137961,adj_Monitor67_ch8,1.1666666666666667,57713,F,1
138249,adj_Monitor67_ch9,2.1666666666666665,57713,F,1
138497,adj_Monitor6_ch1,3.6666666666666665,53328,F,1
138659,adj_Monitor6_ch10,5.5,53328,F,1
138835,adj_Monitor6_ch11,6.833333333333333,53328,F,1
139071,adj_Monitor6_ch12,2.8333333333333335,53328,F,1
139261,adj_Monitor6_ch13,2.5,53328,F,1
139417,adj_Monitor6_ch14,0.6666666666666666,53328,F,1
139553,adj_Monitor6_ch15,3.8333333333333335,53328,F,1
139729,adj_Monitor6_ch16,1.3333333333333333,53328,F,1
139925,adj_Monitor6_ch17,0.6666666666666666,53328,F,1
140069,adj_Monitor6_ch18,1.8333333333333333,53328,F,1
140195,adj_Monitor6_ch2,4.0,53328,F,1
140387,adj_Monitor6_ch20,3.5,53328,F,1
140571,adj_Monitor6_ch21,5.666666666666667,53328,F,1
140749,adj_Monitor6_ch22,9.0,53328,F,1
141057,adj_Monitor6_ch23,1.1666666666666667,53328,F,1
141173,adj_Monitor6_ch24,1.6666666666666667,53328,F,1
141341,adj_Monitor6_ch25,2.1666666666666665,53328,F,1
141503,adj_Monitor6_ch26,7.0,53328,F,1
141781,adj_Monitor6_ch27,3.1666666666666665,53328,F,1
142073,adj_Monitor6_ch28,0.3333333333333333,53328,F,1
142297,adj_Monitor6_ch29,3.3333333333333335,53328,F,1
